"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","UWater:0","UWater:1","UWater:2","alpha.water","k","kMean","nut","p_rgh","p_rghMean","rho","p","Points:0","Points:1","Points:2"
1.4283,-0.23656,0.3524,1.4678,-0.1693,0.1844,0.019299,0.0088632,0.0081811,-0.00028279,0.0010772,-3.1879e-05,0.61193,-0.11453,0.14927,0.43762,0.040311,0.034879,7.8854e-05,-41.077,-84.239,438.18,96.351,2.5545,-0.19073,0.05237
1.4314,-0.23186,0.34797,1.4712,-0.16904,0.18223,0.019225,0.0085617,0.0080081,-0.00024216,0.0010125,-0.00010002,0.60853,-0.11192,0.14684,0.4341,0.040158,0.034805,7.9805e-05,-39.732,-84.428,434.67,96.556,2.5536,-0.19073,0.052247
1.3583,-0.2682,0.35163,1.3974,-0.17072,0.223,0.022497,0.014943,0.011513,-0.0013589,0.0020883,0.0013,0.70738,-0.16088,0.17771,0.54153,0.042559,0.036892,8.4705e-05,-81.566,-79.196,541.99,86.039,2.5727,-0.19073,0.055272
1.4278,-0.23661,0.35255,1.468,-0.1696,0.18479,0.019216,0.0087801,0.0081595,-0.00026653,0.0010617,-2.8796e-05,0.61208,-0.11455,0.14934,0.43777,0.040313,0.034879,7.8774e-05,-41.122,-84.205,438.33,96.299,2.5547,-0.19073,0.05238
1.2997,-0.23763,0.279,1.3454,-0.17504,0.25307,0.025448,0.016741,0.013588,-0.0018312,0.002535,0.0022881,0.71305,-0.15798,0.15375,0.57813,0.043658,0.038949,8.7388e-05,-96.938,-72.641,578.55,75.985,2.5909,-0.19073,0.058065
1.346,-0.26135,0.33237,1.4005,-0.178,0.22997,0.021074,0.012777,0.011238,-0.00090726,0.0019381,0.0013548,0.71085,-0.15937,0.17602,0.54448,0.042612,0.036923,8.2538e-05,-81.184,-77.878,544.94,84.928,2.5762,-0.19073,0.05561
1.2621,-0.19498,0.20119,1.305,-0.18107,0.26893,0.028417,0.015247,0.014836,-0.0016528,0.0028676,0.0029082,0.66178,-0.1258,0.11131,0.55504,0.044316,0.040821,6.7704e-05,-84.823,-63.978,555.49,72.396,2.6091,-0.19073,0.060714
1.2824,-0.22643,0.24444,1.3461,-0.18671,0.2603,0.023699,0.013197,0.013443,-0.00092036,0.0025258,0.0023214,0.7038,-0.15147,0.14475,0.57054,0.043619,0.039068,8.2542e-05,-91.559,-68.841,570.97,73.888,2.5978,-0.19073,0.058952
1.2293,-0.17064,0.15553,1.2715,-0.18629,0.26907,0.030908,0.012843,0.01559,-0.0010885,0.0032186,0.0032088,0.61066,-0.097475,0.081261,0.52143,0.044296,0.042223,6.2236e-05,-65.036,-51.829,521.91,68.625,2.6273,-0.19073,0.063409
1.2382,-0.18975,0.17606,1.3004,-0.19305,0.27058,0.026803,0.01175,0.014943,-0.00052516,0.0029539,0.0028161,0.63896,-0.11694,0.10002,0.53685,0.043829,0.040993,7.2665e-05,-73.304,-56.02,537.31,67.803,2.6195,-0.19073,0.062354
1.1803,-0.16577,0.13042,1.2427,-0.18942,0.25497,0.031503,0.010829,0.01605,-0.00049831,0.0032159,0.0031431,0.57366,-0.084594,0.064011,0.50553,0.043393,0.04285,7.7682e-05,-43.557,-35.549,506.02,63.582,2.6455,-0.19073,0.066347
1.1882,-0.17336,0.13796,1.2598,-0.19497,0.2595,0.029268,0.010252,0.015799,-0.00012533,0.0030348,0.0029235,0.58572,-0.092522,0.071136,0.50966,0.043228,0.042264,8.0081e-05,-47.445,-38.201,510.15,62.57,2.6412,-0.19073,0.065888
1.1168,-0.17698,0.11948,1.2289,-0.19463,0.23913,0.030353,0.0095087,0.016656,2.9714e-05,0.0024643,0.0030429,0.55485,-0.08892,0.058822,0.51524,0.042459,0.042588,8.4942e-05,-14.069,-12.738,515.72,62.442,2.6636,-0.19073,0.069734
1.1176,-0.17747,0.11979,1.23,-0.19509,0.2397,0.030218,0.0094679,0.016638,6.2486e-05,0.0024518,0.0030218,0.55558,-0.089407,0.059113,0.51523,0.042444,0.042554,8.4905e-05,-14.579,-13.072,515.72,62.043,2.6633,-0.19073,0.069709
1.1111,-0.17733,0.12013,1.228,-0.19458,0.23769,0.030123,0.0093723,0.016531,6.73e-05,0.0023897,0.0030198,0.55427,-0.089552,0.059838,0.51849,0.042461,0.042529,8.4412e-05,-11.867,-11.015,518.97,62.131,2.6648,-0.19073,0.069999
1.0385,-0.17121,0.1161,1.1968,-0.17296,0.20146,0.033908,0.011596,0.016232,-0.0011824,0.0022645,0.0025889,0.54229,-0.090784,0.067544,0.55592,0.043814,0.043015,6.2125e-05,1.1042,-0.79248,556.36,67.588,2.6818,-0.19073,0.074386
1.0361,-0.16857,0.099555,1.2125,-0.16174,0.16599,0.033086,0.0098136,0.013651,-0.0010074,0.0017341,0.0026361,0.5514,-0.09203,0.07388,0.58691,0.044713,0.043221,3.1629e-18,0,0,587.33,61.635,2.7,-0.19073,0.076681
1.0589,-0.17481,0.10328,1.2197,-0.17274,0.18828,0.032686,0.0099248,0.015038,-0.00069924,0.0018849,0.0028212,0.55296,-0.092894,0.067577,0.56379,0.043948,0.043054,4.8363e-05,-3.5021,-5.0615,564.23,60.764,2.6868,-0.19073,0.074899
0.46371,0.036611,-0.065233,0.47634,0.025155,-0.071059,0.0011277,0.00051237,0.00028706,-0.00011262,6.7106e-05,-1.4081e-05,0.26403,0.022081,-0.030101,0.49722,0.011497,0.010886,1.5285e-06,1197.9,1201.1,497.72,70.66,-2.6456,-0.19073,0.15722
0.46133,0.036144,-0.064985,0.47423,0.024904,-0.070257,0.0011293,0.0005102,0.00027517,-0.00011297,6.508e-05,-1.5338e-05,0.26208,0.021695,-0.029898,0.49705,0.01149,0.010872,9.1041e-07,1198.2,1201.8,497.55,70.694,-2.6466,-0.19073,0.15729
0.47307,0.028578,-0.067482,0.48228,0.024014,-0.066936,0.00095958,0.00046751,0.00024969,-4.3814e-05,8.7057e-05,2.4712e-05,0.2612,0.019825,-0.029506,0.49743,0.011593,0.010994,7.6292e-08,1202.8,1205.5,497.93,65.972,-2.6552,-0.19073,0.15824
0.43017,0.053847,-0.057996,0.44983,0.022865,-0.076453,0.0022449,0.00081298,0.00045883,-7.272e-06,4.5769e-05,-0.00015319,0.26782,0.026706,-0.030761,0.49814,0.011392,0.011029,8.7151e-06,1192.2,1193.8,498.64,78.158,-2.6274,-0.19073,0.15532
